session_id,strategy,hand_idx,stake,before,after,profit,outcome,player_total,dealer_total,player_bj,dealer_bj,dealer_up,player_len,dealer_len,player_cards,dealer_cards
72da39e5,flat,1,25,1000,975,-25,L,17,18,0,0,3,2,4,"J,7","3,5,4,6"
72da39e5,flat,2,25,975,1000,25,W,20,18,0,0,2,2,4,"K,Q","2,6,4,6"
72da39e5,flat,3,25,1000,975,-25,L,19,20,0,0,5,3,3,"3,5,A","5,K,5"
72da39e5,flat,4,25,975,950,-25,L,17,19,0,0,8,3,2,"K,3,4","8,A"
72da39e5,flat,5,25,950,1000,50,W,21,17,0,0,7,3,2,"2,9,Q","7,J"
72da39e5,flat,6,25,1000,1050,50,W,17,26,0,0,6,3,3,"8,3,6","6,10,K"
72da39e5,flat,7,25,1050,1025,-25,L,19,20,0,0,J,2,2,"A,8","J,J"
72da39e5,flat,8,25,1025,1050,25,W,19,26,0,0,7,3,3,"7,8,4","7,9,J"
72da39e5,flat,9,25,1050,1025,-25,L,19,20,0,0,Q,2,2,"9,K","Q,K"
72da39e5,flat,10,25,1025,1050,25,W,18,17,0,0,10,3,2,"5,K,3","10,7"
72da39e5,flat,11,25,1050,1025,-25,L,13,21,0,1,J,2,2,"6,7","J,A"
72da39e5,flat,12,25,1025,1050,25,W,13,25,0,0,2,2,4,"3,Q","2,3,Q,Q"
72da39e5,flat,13,25,1050,1000,-50,L,18,21,0,0,J,3,3,"5,6,7","J,2,9"
72da39e5,flat,14,25,1000,975,-25,L,17,21,0,0,7,2,3,"6,A","7,4,K"
72da39e5,flat,15,25,975,950,-25,L,23,20,0,0,Q,3,2,"9,4,Q","Q,10"
72da39e5,flat,16,25,950,1000,50,W,14,25,0,0,5,3,3,"6,3,5","5,K,K"
72da39e5,flat,17,25,1000,975,-25,L,22,9,0,0,3,3,2,"9,3,Q","3,6"
72da39e5,flat,18,25,975,1000,25,W,20,24,0,0,Q,4,3,"3,2,4,A","Q,5,9"
7f3e4a12,flat,1,25,1000,1025,25,W,16,26,0,0,6,2,3,"7,9","6,Q,10"
7f3e4a12,flat,2,25,1025,1050,25,W,21,19,0,0,A,4,2,"K,4,2,5","A,8"
