session_id,strategy,rounds,final_bankroll,net,win,lose,push,win_rate,avg_stake,max_drawdown,table_max_hits,bust,rules
72da39e5,flat,18,1000,0,8,10,0,0.4444444444444444,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
7f3e4a12,flat,18,850,-150,6,11,1,0.3333333333333333,25.0,200,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
d18b6adf,flat,18,1099,99,8,8,2,0.4444444444444444,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
23c0348c,flat,18,800,-200,5,11,2,0.2777777777777778,25.0,225,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
5e877cac,flat,18,1099,99,10,8,0,0.5555555555555556,25.0,50,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
2af7261a,flat,18,950,-50,7,9,2,0.3888888888888889,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
0bcb6b4e,flat,18,1037,37,9,9,0,0.5,25.0,138,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
20e7295b,flat,18,925,-75,6,10,2,0.3333333333333333,25.0,125,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
98dc7ea4,flat,18,1099,99,10,7,1,0.5555555555555556,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
e6bd7408,flat,18,1062,62,8,8,2,0.4444444444444444,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
e27fbd4b,flat,18,975,-25,7,10,1,0.3888888888888889,25.0,125,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
852ab28b,flat,18,912,-88,7,11,0,0.3888888888888889,25.0,125,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
613ff975,flat,18,1125,125,11,7,0,0.6111111111111112,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
59b782ff,flat,18,899,-101,7,11,0,0.3888888888888889,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
08a6185e,flat,18,925,-75,7,9,2,0.3888888888888889,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
6a0cd139,flat,18,950,-50,8,9,1,0.4444444444444444,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
fd98b273,flat,18,950,-50,6,8,4,0.3333333333333333,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
d24a9ce4,flat,18,1212,212,11,5,2,0.6111111111111112,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
f4e9df25,flat,18,1012,12,8,9,1,0.4444444444444444,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
371f020c,flat,18,887,-113,7,10,1,0.3888888888888889,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
cca1b1c5,flat,18,875,-125,5,12,1,0.2777777777777778,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
b5e8ed11,flat,18,962,-38,7,8,3,0.3888888888888889,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
fd60ea9a,flat,18,1024,24,9,9,0,0.5,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
d96243fe,flat,18,900,-100,6,9,3,0.3333333333333333,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
0978d654,flat,18,999,-1,8,10,0,0.4444444444444444,25.0,175,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
22393e0b,flat,18,1262,262,13,4,1,0.7222222222222222,25.0,25,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
f3ec4938,flat,18,875,-125,6,9,3,0.3333333333333333,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
3ed9c12c,flat,18,1162,162,11,6,1,0.6111111111111112,25.0,50,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
b7ffbde2,flat,18,1000,0,7,8,3,0.3888888888888889,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
aa928bd4,flat,18,1000,0,7,8,3,0.3888888888888889,25.0,125,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
b6b9ffa7,flat,18,900,-100,4,9,5,0.2222222222222222,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
087b1968,flat,18,1099,99,10,7,1,0.5555555555555556,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
c2429be7,flat,18,975,-25,7,8,3,0.3888888888888889,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
84b13165,flat,18,1050,50,9,7,2,0.5,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
ae664685,flat,18,1087,87,9,7,2,0.5,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
bd08a2c1,flat,18,787,-213,4,12,2,0.2222222222222222,25.0,300,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
2fe0f2e4,flat,18,987,-13,7,9,2,0.3888888888888889,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
1d7702fe,flat,18,1137,137,10,5,3,0.5555555555555556,25.0,50,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
3b03ebe0,flat,18,974,-26,8,10,0,0.4444444444444444,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
c3c8841f,flat,18,1100,100,9,5,4,0.5,25.0,75,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
cc22f693,flat,18,912,-88,7,10,1,0.3888888888888889,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
89cfcf84,flat,18,862,-138,6,10,2,0.3333333333333333,25.0,150,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
176425f8,flat,18,1000,0,8,9,1,0.4444444444444444,25.0,100,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
dc6bd61b,flat,18,787,-213,3,12,3,0.16666666666666666,25.0,213,0,0,"{""num_decks"": 6, ""cut_card"": 52, ""dealer_hits_soft_17"": false, ""hole_card"": true, ""pay_bj"": 1.5, ""allow_double"": true, ""table_max"": 500}"
